treeno	No	name	Fsongbi	Fdancebi	Mstraw	Fstraw	Mdance	Fdance	SDdance	sdcolor	red	black	reseffort	log_reseeffort	intraparas	bodysize	clutch	incub	interparas	society
60	27	Estrilda_caerulescens	0	1	1	1	4	4	1	0	0	0	0	0	0	10	4	11.5	0	1
61	25	Estrilda_perreini	0	0	1	0	3	0	0	0	0	0	0	0	0	10.75	3.5	12	0	1
63	37	Estrilda_nonnula	0	1	1	0	3	1	0.333333333	0	0	0	1	0.30103	0	10.25	4.5	13	0	2
64	32	Estrilda_troglodytes	0	1	1	0	5	3	0.6	1	1	0	4	0.69897	0	10	4.5	11.5	1	2
65	30	Estrilda_rhodopyga	0	1	1	0	5	3	0.6	0	0	0	0	0	0	10.25	4	13	1	1
66	29	Estrilda_melpoda	0	1	1	0	5	3	0.6	0	0	0	5	0.778151	0	10	5	11	1	2
67	34	Estrilda_astrild	0	1	1	0	5	4	0.8	4	1	0	14	1.176091	0	11.25	5	12	1	3
68	45	Uraeginthus_bengalus	1	1	1	1	4	4	1	1	1	0	5	0.778151	0	12.5	4	13.5	1	1
69	46	Uraeginthus_cyanocephalus	1	1	1	1	4	4	1	1	0	0	2	0.477121	0	13.25	5	13.5	1	1
70	44	Uraeginthus_angolensis	1	1	1	0	7	6	0.857142857	1	0	0	3	0.60206	0	12.5	4	13.5	1	1
71	47	Uraeginthus_ianthinogaster	1	1	1	0	5	4	0.8	4	0	0	0	0	0	13.5	4	13.5	1	1
72	42	Spermophaga_haematina	1	0	1	0	6	0	0	3	0	1	1	0.30103	0	15	4	15	0	1
73	43	Spermophaga_ruficapilla	0	0	1	0	5	0	0	1	0	1	1	0.30103	0	15	2.5	17.5	0	1
74	62	Lagonosticta_rubricata	0	0	1	0	6	0	0	3	1	0	2	0.477121	0	10.5	4.5	13	1	1
75	63	Lagonosticta_virata	1	1	1	0	6	1	0.166666667	0	0	0	1	0.30103	0	10.5	3.5	12	1	1
76	65	Lagonosticta_rhodopareia	0	0	1	0	6	0	0	3	1	0	1	0.30103	0	10.5	4	12.5	1	1
77	59	Lagonosticta_rufopicta	0	0	1	0	5	0	0	0	0	0	2	0.477121	0	9.5	4.5	13.5	1	1
78	60	Lagonosticta_senegala	1	0	1	0	5	0	0	7	1	0	10	1.041393	0	9.5	4	11.5	1	1
79	61	Lagonosticta_rara	0	1	1	0	3	2	0.666666667	5	1	0	2	0.477121	0	10.5	3.5	13.5	1	1
80	58	Clytospiza_monteiri	1	1	1	0	4	3	0.75	1	1	0	2	0.477121	0	12	5	13	1	1
81	38	Pyrenestes_sanguineus	1	1	1	1	2	2	1	2	1	0	1	0.30103	0	14.5	3.5	16	0	1
82	52	Pytilia_melba	1	1	1	0	3	2	0.666666667	4	1	0	5	0.778151	0	13	4	12.5	1	0
83	49	Pytilia_phoenicoptera	0	1	1	0	4	3	0.75	1	0	1	1	0.30103	0	12.75	3.5	14	1	1
84	53	Pytilia_hypogrammica	0	1	1	0	4	1	0.25	4	1	0	0	0	0	12.5	3.5	13	1	1
85	51	Pytilia_afra	0	1	1	0	5	2	0.4	4	1	0	0	0	0	11	4	13	1	1
86	7	Amadina_erythrocephala	0	0	0	0	3	0	0	4	1	0	1	0.30103	0	12.5	5	14	0	3
87	6	Amadina_fasciata	1	0	1	0	4	0	0	3	1	0	5	0.778151	0	11.5	5	12.5	0	3
88	56	Hypargos_niveoguttatus	1	1	1	0	4	1	0.25	4	1	1	1	0.30103	0	12.5	4.5	13.5	1	1
89	54	Euschistospiza_dybowskii	1	1	1	1	4	4	1	3	1	1	1	0.30103	0	12	5	13.5	1	1
90	55	Euschistospiza_cinereovinacea	0	0	1	0	3	0	0	0	0	0	0	0	0	11.5	3	13	0	0
